feature,ic,ic_pvalue,hit_rate,n_samples,domain,ic_qvalue,is_significant,abs_ic
L_M_S_cmf_6_bnd_N,-0.007623659907801996,0.5742804896791693,0.4889543446244477,5433,Volume,0.9265976753160645,False,0.007623659907801996
V_autocorr_12_bnd_N,0.00756558198448026,0.57744580434377,0.5013824884792627,5426,Volatility,0.9265976753160645,False,0.00756558198448026
M_P_logReturn_pct_N,-0.007551014000083261,0.5777936585619523,0.4768211920529801,5437,Momentum,0.9265976753160645,False,0.007551014000083261
L_N_S_oiRatio_6_rat_N,-0.007106150996172082,0.6005398421327646,0.5069955817378498,5433,OpenInterest,0.9265976753160645,False,0.007106150996172082
N_M_cci_21_zsc_N,-0.007051871725415387,0.6044951810286951,0.48656661108022975,5398,Other,0.9265976753160645,False,0.007051871725415387
M_T_ppo_12_26_pct_N,-0.007030254160799635,0.6042698016458523,0.4999080375206916,5438,Trend,0.9265976753160645,False,0.007030254160799635
V_garmanKlass_21_pct_N,0.00682506162237651,0.6155153698331486,0.5067380468894221,5418,Volatility,0.9265976753160645,False,0.00682506162237651
M_P_V_momAtr_12_rat_N,-0.006818930622772042,0.6155720673363898,0.487926267281106,5426,Momentum,0.9265976753160645,False,0.006818930622772042
D_F_T_premiumMa_7_pct_N,-0.0068054639985398796,0.6158798112243855,0.503954386610263,5438,Premium,0.9265976753160645,False,0.0068054639985398796
V_yangZhang_21_pct_N,0.006787755816440005,0.6180979799667486,0.5067630164906429,5398,Volatility,0.9265976753160645,False,0.006787755816440005
L_M_S_obv_21_zsc_N,-0.006689437273995339,0.6225844481294022,0.491506646971935,5417,Volatility,0.9265976753160645,False,0.006689437273995339
L_M_N_volumeRoc_6_pct_N,0.006525054220266297,0.6306868122009326,0.5041428834468791,5432,Volume,0.9265976753160645,False,0.006525054220266297
V_rogersSatchell_21_pct_N,0.00649579266580833,0.6326595902783221,0.5067380468894221,5418,Volatility,0.9265976753160645,False,0.00649579266580833
F_I_fundingCumulative_21_pct_N,0.006465052992049083,0.6336451179995968,0.510391760161854,5438,Funding,0.9265976753160645,False,0.006465052992049083
V_autocorr_21_bnd_N,-0.006337911244763961,0.640982204907138,0.4963072378138848,5417,Volatility,0.9265976753160645,False,0.006337911244763961
L_M_N_volumeRoc_3_pct_N,0.006309625448278233,0.6419200762731773,0.49907986750092015,5435,Volume,0.9265976753160645,False,0.006309625448278233
F_I_M_fundingMaDiff_3_21_pct_N,-0.005948223853702011,0.6610228854676994,0.4758138679418797,5438,Funding,0.9459465429968801,False,0.005948223853702011
L_S_oiVolumeRatio_21_rat_N,-0.00576474601120705,0.6714254442757882,0.5067380468894221,5418,OpenInterest,0.9463925280205907,False,0.00576474601120705
L_M_N_S_oiRoc_12_pct_N,-0.005707579862356453,0.6742691902770618,0.495668202764977,5426,OpenInterest,0.9463925280205907,False,0.005707579862356453
B_TM_dayOfWeek_bin,0.005623949203447986,0.6784380170750017,0.4346146772116976,5438,Other,0.9463925280205907,False,0.005623949203447986
D_markIndexSpread_pct_N,-0.0054633758612216395,0.6871263007827917,0.4640426705903991,5438,Other,0.9505247160828618,False,0.0054633758612216395
V_returnStd_21_pct_N,0.005364572463578143,0.6930574700515266,0.5068316100443131,5417,Volatility,0.950806115938458,False,0.005364572463578143
N_P_zScore_42_zsc_N,-0.005217828520506794,0.7015697768871288,0.4933283914010378,5397,Other,0.9545949423218311,False,0.005217828520506794
V_volMomentum_21_pct_N,0.004891121950742957,0.7191902597932638,0.5038845726970034,5407,Volatility,0.9706144969567625,False,0.004891121950742957
L_M_S_mfi_12_bnd_N,0.004766297769211355,0.725651281219143,0.5072837912594504,5424,Volume,0.9714363925998205,False,0.004766297769211355
M_N_V_rangeExpansion_6_rat_N,-0.004611327939231756,0.7340160676699461,0.5069955817378498,5433,Volatility,0.972120030143685,False,0.004611327939231756
F_I_M_fundingMaDiff_3_7_pct_N,-0.004490633130154044,0.7406090381397792,0.43332720250137946,5438,Funding,0.972120030143685,False,0.004490633130154044
V_returnStd_12_pct_N,0.004359020566780414,0.7482183837622449,0.5072811059907835,5426,Volatility,0.972120030143685,False,0.004359020566780414
D_N_premiumRange_rat_N,-0.004330121332002398,0.7495865292674198,0.506990434142752,5437,Other,0.972120030143685,False,0.004330121332002398
V_skew_12_rat_N,0.004048356637725183,0.7656172288639719,0.4952995391705069,5426,Volatility,0.979980700556031,False,0.004048356637725183
M_winRate_12_bnd_N,-0.003989661234503484,0.7688974068195253,0.5071876151861408,5427,Other,0.979980700556031,False,0.003989661234503484
L_N_S_oiRatio_12_rat_N,-0.00391046406764788,0.7733582636918077,0.5071876151861408,5427,OpenInterest,0.979980700556031,False,0.00391046406764788
