feature,ic,ic_pvalue,hit_rate,n_samples,domain,ic_qvalue,is_significant,abs_ic,horizon_bars,horizon_label
D_N_premiumRange_rat_N,0.020964491004251205,0.12260165108990437,0.5192626728110599,5437,Other,0.3037593146406586,False,0.020964491004251205,12,96h
M_N_stochasticK_6_bnd_N,-0.02071929268725442,0.1271791975100387,0.5190924183729939,5433,Oscillator,0.30605499007680725,False,0.02071929268725442,12,96h
V_atrPct_3_pct_N,0.020709667332992884,0.1272156284054199,0.519447004608295,5437,Volatility,0.30605499007680725,False,0.020709667332992884,12,96h
V_rogersSatchell_21_pct_N,0.020609645776453665,0.12973565632246403,0.5181280059193488,5418,Volatility,0.307658842136129,False,0.020609645776453665,12,96h
B_consecutiveUp_bnd_N,0.0199943921893354,0.1408528443322322,0.2637301879837818,5438,Other,0.32474405776597975,False,0.0199943921893354,12,96h
V_garmanKlass_21_pct_N,0.01960323196883154,0.1495443701290616,0.5181280059193488,5418,Volatility,0.34005980056745516,False,0.01960323196883154,12,96h
V_autocorr_12_bnd_N,-0.01915686429554234,0.15872762774563792,0.4811599556704839,5426,Volatility,0.356064678456431,False,0.01915686429554234,12,96h
V_parkinson_21_pct_N,0.018423177360452545,0.17561672919093418,0.5181280059193488,5418,Volatility,0.38869836060926766,False,0.018423177360452545,12,96h
N_P_V_pctB_21_bnd_N,-0.018014656584364342,0.185390849839788,0.5127635960044395,5418,Volatility,0.39967378017408844,False,0.018014656584364342,12,96h
N_P_zScore_21_zsc_N,-0.018014656584364342,0.185390849839788,0.4811320754716981,5418,Other,0.39967378017408844,False,0.018014656584364342,12,96h
M_T_ppo_8_21_pct_N,-0.017564657899009822,0.19579022657577763,0.4883892370070033,5438,Trend,0.41668176425101394,False,0.017564657899009822,12,96h
F_I_N_S_fundingZscore_42_zsc_N,-0.017428879291272948,0.199268951709854,0.47567268706229265,5438,Funding,0.41871703777007296,False,0.017428879291272948,12,96h
M_T_ppo_12_26_pct_N,-0.01723113628614719,0.20441567784173958,0.4939181717655732,5438,Trend,0.4231208422128418,False,0.01723113628614719,12,96h
L_M_S_obv_21_zsc_N,0.01718680023161423,0.20646257963397702,0.49491211840888066,5417,Volatility,0.4231208422128418,False,0.01718680023161423,12,96h
L_M_S_mfi_12_bnd_N,0.016268051542155482,0.23146911661837274,0.5184774575018477,5424,Volume,0.4685838214469497,False,0.016268051542155482,12,96h
V_maxDrawdown_21_pct_N,-0.015841008308480748,0.24421258575301552,0.4816870144284129,5418,Volatility,0.488425171506031,False,0.015841008308480748,12,96h
V_kurtosis_12_rat_N,-0.015725987785919493,0.24730472929015299,0.5068341337273735,5426,Volatility,0.4887212507400643,False,0.015725987785919493,12,96h
V_volMomentum_12_pct_N,-0.015049294772892003,0.26850216238472496,0.49870562130177515,5420,Volatility,0.5243689288925216,False,0.015049294772892003,12,96h
C_N_lowerShadow_bnd_N,-0.01474288739486119,0.2775717618826282,0.5164025064504238,5438,Candlestick,0.5341906423499614,False,0.01474288739486119,12,96h
L_M_N_S_oiRoc_6_pct_N,-0.014677725159612211,0.2799673848460641,0.4940959409594096,5432,OpenInterest,0.5341906423499614,False,0.014677725159612211,12,96h
V_skew_12_rat_N,0.014488858535017246,0.2864695845403421,0.49704469892870334,5426,Volatility,0.5403858072010999,False,0.014488858535017246,12,96h
D_F_T_premiumMa_21_pct_N,-0.014346432117428386,0.29069920868734134,0.5068190195355695,5438,Premium,0.5422030184505467,False,0.014346432117428386,12,96h
V_volMomentum_6_pct_N,-0.013970310961173097,0.3039349846560687,0.4947387853055197,5429,Volatility,0.5512375598877801,False,0.013970310961173097,12,96h
D_N_markCloseDeviation_pct_N,0.013959408416074617,0.3039109889031439,0.3866568374493181,5438,Other,0.5512375598877801,False,0.013959408416074617,12,96h
L_N_S_oiRatio_12_rat_N,-0.013927602614880429,0.3055051536727456,0.5185595567867036,5427,OpenInterest,0.5512375598877801,False,0.013927602614880429,12,96h
N_M_cci_21_zsc_N,-0.01336050881754848,0.3269205250509504,0.4844040103973264,5398,Other,0.5835355608436319,False,0.01336050881754848,12,96h
N_P_zScore_42_zsc_N,-0.013065914744360708,0.33774588421795637,0.4934076137418756,5397,Other,0.5964448593636251,False,0.013065914744360708,12,96h
V_volOfVol_21_pct_N,-0.01262353053502429,0.3536885530300704,0.5187037037037037,5412,Volatility,0.618024208452544,False,0.01262353053502429,12,96h
L_M_N_volumeRoc_12_pct_N,-0.012487702720070394,0.35826955393668203,0.4966752862947913,5426,Volume,0.619507770348846,False,0.012487702720070394,12,96h
B_C_candleDirection_bin,0.012260757258664823,0.36654168641896145,0.5,5438,Candlestick,0.6272775252118309,False,0.012260757258664823,12,96h
M_D_F_S_premiumChange_pct_N,-0.011457869781102675,0.3987611524671344,0.49225949133800223,5438,Premium,0.6725501824398513,False,0.011457869781102675,12,96h
M_P_roc_12_pct_N,-0.011413802186886049,0.40109920519003184,0.4892870336165497,5426,Momentum,0.6725501824398513,False,0.011413802186886049,12,96h
N_V_atrPercentile_21_rnk_N,-0.01106001637734753,0.41624392944870725,0.5182238667900092,5417,Volatility,0.6909649228848541,False,0.01106001637734753,12,96h
M_T_V_diDiff_6_bnd_N,0.010652685701310234,0.43276980634249074,0.4875576036866359,5437,Volatility,0.7112850282460739,False,0.010652685701310234,12,96h
M_N_rsi_12_bnd_N,-0.010152105569832646,0.45511996809254707,0.5185595567867036,5427,Oscillator,0.7406854382682629,False,0.010152105569832646,12,96h
N_P_T_priceSmaDeviation_12_pct_N,-0.009758453107869228,0.47279211763642903,0.480517082179132,5427,Other,0.7553798800826246,False,0.009758453107869228,12,96h
V_volOfVol_6_pct_N,0.009730256707642734,0.4740722643997233,0.5185595567867036,5427,Volatility,0.7553798800826246,False,0.009730256707642734,12,96h
B_consecutiveDown_bnd_N,-0.009601668363648555,0.4794884540010088,0.255436785845927,5438,Other,0.7553798800826246,False,0.009601668363648555,12,96h
D_N_V_markCloseRange_rat_N,-0.009539220376981643,0.4823510077636036,0.3995576852193144,5438,Volatility,0.7553798800826246,False,0.009539220376981643,12,96h
N_P_T_priceEmaDeviation_21_pct_N,-0.00933666002661536,0.49169975601403726,0.49244378916328785,5438,Other,0.7576869952594294,False,0.00933666002661536,12,96h
M_N_rocAccel_3_dif_N,-0.009314818055409653,0.49295298486758055,0.4952029520295203,5432,Momentum,0.7576869952594294,False,0.009314818055409653,12,96h
N_M_cci_12_zsc_N,-0.008642166458282047,0.525319502080792,0.48094004441154703,5416,Other,0.7932130318493033,False,0.008642166458282047,12,96h
F_I_M_fundingMaDiff_3_7_pct_N,0.008618301032432631,0.5256230933941166,0.4295982307408773,5438,Funding,0.7932130318493033,False,0.008618301032432631,12,96h
M_P_V_momAtr_12_rat_N,-0.008465166030747569,0.5334597925627661,0.4892870336165497,5426,Momentum,0.7977867168055782,False,0.008465166030747569,12,96h
C_N_bodySize_bnd_N,-0.007921436092050352,0.5596384017298857,0.5193512716549945,5438,Candlestick,0.8294640597067948,False,0.007921436092050352,12,96h
M_N_V_rangeExpansion_12_rat_N,-0.007572435742524412,0.5774524295284982,0.5185595567867036,5427,Volatility,0.842889336481162,False,0.007572435742524412,12,96h
V_returnStd_21_pct_N,0.0075515922814967645,0.5788517130051354,0.5182238667900092,5417,Volatility,0.842889336481162,False,0.0075515922814967645,12,96h
M_N_V_rangeExpansion_6_rat_N,-0.007020808816724568,0.6052878596384313,0.5190924183729939,5433,Volatility,0.8683459186031687,False,0.007020808816724568,12,96h
N_P_T_priceEmaDeviation_12_pct_N,-0.006933181304258986,0.6096338197508939,0.4854404718024327,5438,Other,0.8683459186031687,False,0.006933181304258986,12,96h
N_P_V_pctB_12_bnd_N,-0.006755405925613721,0.6191898806647695,0.5143120960295475,5427,Volatility,0.8683459186031687,False,0.006755405925613721,12,96h
N_P_zScore_12_zsc_N,-0.006755405925613721,0.6191898806647695,0.480517082179132,5427,Other,0.8683459186031687,False,0.006755405925613721,12,96h
D_F_basis_pct_N,-0.006591286629356508,0.6273807689918574,0.49870991522300034,5438,Premium,0.8683459186031687,False,0.006591286629356508,12,96h
M_P_roc_3_pct_N,-0.0065866155793790244,0.6277199411589172,0.48884381338742394,5435,Momentum,0.8683459186031687,False,0.0065866155793790244,12,96h
F_I_T_fundingMa_21_pct_N,0.0063719683317865344,0.6388804791625443,0.5226686325101364,5438,Funding,0.8686643453157014,False,0.0063719683317865344,12,96h
M_N_V_rangeExpansion_21_rat_N,-0.006336319135525087,0.6413744069532723,0.5181280059193488,5418,Volatility,0.8686643453157014,False,0.006336319135525087,12,96h
